,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,range,Average,GT1400,DailyTrend,Calculated Column
108,HDFCBANK,EQ,2016-11-07,1243.7,1252.0,1254.85,1240.0,       1250.30,1249.45,1246.08,1417848,1766756336.45,26007,930814,65.65,14.849999999999909,1250.725,0,Negative,1250.725
109,HDFCBANK,EQ,2016-11-08,1249.45,1251.1,1258.0,1240.1,       1255.05,1254.3,1248.47,1337041,1669259544.25,34112,869565,65.04,17.90000000000009,1252.6999999999998,0,Positive,3.2000000000000455
110,HDFCBANK,EQ,2016-11-09,1254.3,1200.0,1257.4,1195.35,       1255.10,1251.25,1240.03,3411367,4230183026.5,57210,1409538,41.32,62.05000000000018,1225.625,0,Positive,51.25
111,HDFCBANK,EQ,2016-11-10,1251.25,1263.75,1283.0,1254.1,       1277.50,1278.55,1271.69,2675184,3402004225.4,35751,1582774,59.17,28.90000000000009,1271.15,0,Positive,14.799999999999955
112,HDFCBANK,EQ,2016-11-11,1278.55,1274.0,1282.0,1265.6,       1278.00,1275.8,1275.07,1784830,2275777463.3,29969,1026486,57.51,16.40000000000009,1274.9,0,Positive,1.7999999999999545
113,HDFCBANK,EQ,2016-11-15,1275.8,1277.5,1289.0,1250.65,       1253.30,1254.75,1266.17,3128131,3960757883.95,52081,2079319,66.47,38.34999999999991,1266.125,0,Negative,1266.125
115,HDFCBANK,EQ,2016-11-16,1254.75,1268.0,1268.0,1240.05,       1242.00,1244.35,1246.95,2161936,2695817214.85,43303,1347487,62.33,27.950000000000045,1256.175,0,Negative,1256.175
117,HDFCBANK,EQ,2016-11-17,1244.35,1238.3,1248.9,1225.15,       1234.00,1230.2,1233.17,1203906,1484624000.3,40898,713174,59.24,23.75,1234.25,0,Negative,1234.25
118,HDFCBANK,EQ,2016-11-18,1230.2,1236.0,1236.0,1209.2,       1212.00,1211.4,1219.74,1719975,2097928317.5,50664,1204073,70.01,26.799999999999955,1223.7,0,Negative,1223.7
119,HDFCBANK,EQ,2016-11-21,1211.4,1219.5,1219.5,1188.35,       1199.95,1198.7,1197.85,1388130,1662776419.1,36830,716391,51.61,31.15000000000009,1209.1,0,Negative,1209.1
120,HDFCBANK,EQ,2016-11-22,1198.7,1206.8,1206.8,1189.35,       1199.00,1198.05,1195.59,2504446,2994293470.7,36415,1317106,52.59,17.450000000000045,1202.425,0,Negative,1202.425
121,HDFCBANK,EQ,2016-11-23,1198.05,1203.0,1203.0,1181.1,       1181.60,1184.75,1189.84,883173,1050838577.25,18697,516917,58.53,21.90000000000009,1193.875,0,Negative,1193.875
122,HDFCBANK,EQ,2016-11-24,1184.75,1184.0,1186.3,1160.9,       1165.35,1165.5,1168.7,3821499,4466192463.85,34200,2597823,67.98,25.399999999999864,1174.75,0,Negative,1174.75
123,HDFCBANK,EQ,2016-11-25,1165.5,1169.0,1193.2,1158.0,       1186.10,1189.3,1176.81,1492490,1756380562.35,36072,928278,62.2,35.200000000000045,1179.15,0,Positive,20.299999999999955
125,HDFCBANK,EQ,2016-11-28,1189.3,1180.25,1198.9,1178.1,       1183.50,1184.45,1189.76,1032545,1228481872.85,21122,605555,58.65,20.800000000000182,1182.35,0,Positive,4.2000000000000455
126,HDFCBANK,EQ,2016-11-29,1184.45,1184.7,1192.95,1176.5,       1179.40,1178.75,1185.09,983161,1165132217.5,22206,641562,65.26,16.450000000000045,1181.725,0,Negative,1181.725
127,HDFCBANK,EQ,2016-11-30,1178.75,1185.0,1202.0,1181.1,       1198.50,1199.6,1192.81,1610710,1921272433.45,22323,1002859,62.26,20.90000000000009,1192.3,0,Positive,14.599999999999909
128,HDFCBANK,EQ,2016-12-01,1199.6,1202.3,1207.9,1193.0,       1195.00,1197.25,1201.55,1119246,1344826096.9,43860,712691,63.68,14.900000000000091,1199.775,0,Negative,1199.775
129,HDFCBANK,EQ,2016-12-02,1197.25,1189.0,1201.95,1176.7,       1190.85,1189.1,1186.34,1015668,1204928736.25,20190,458896,45.18,25.25,1189.05,0,Positive,0.09999999999990905
131,HDFCBANK,EQ,2016-12-05,1189.1,1187.6,1198.95,1176.5,       1195.00,1196.35,1188.46,1137984,1352453352.9,23709,760929,66.87,22.450000000000045,1191.975,0,Positive,8.75
132,HDFCBANK,EQ,2016-12-06,1196.35,1195.0,1202.85,1190.2,       1196.95,1194.45,1196.07,675741,808236057.3,20289,293189,43.39,12.649999999999864,1194.725,0,Negative,1194.725
134,HDFCBANK,EQ,2016-12-07,1194.45,1201.85,1205.9,1167.0,       1181.40,1181.6,1190.7,1407048,1675366938.3,20996,858105,60.99,38.90000000000009,1191.725,0,Negative,1191.725
136,HDFCBANK,EQ,2016-12-08,1181.6,1187.0,1205.55,1187.0,       1196.00,1199.5,1196.73,1077424,1289382082.95,21872,668894,62.08,18.549999999999955,1193.25,0,Positive,12.5
137,HDFCBANK,EQ,2016-12-09,1199.5,1199.1,1202.3,1188.0,       1199.00,1198.3,1197.13,1096988,1313237103.15,38565,653928,59.61,14.299999999999955,1198.6999999999998,0,Negative,1198.6999999999998
138,HDFCBANK,EQ,2016-12-12,1198.3,1192.0,1192.15,1181.1,       1186.00,1184.45,1185.31,856318,1015005107.15,13932,565097,65.99,11.050000000000182,1188.225,0,Negative,1188.225
139,HDFCBANK,EQ,2016-12-13,1184.45,1180.25,1190.35,1178.55,       1185.10,1186.25,1185.61,631717,748969936.1,7823,362174,57.33,11.799999999999955,1183.25,0,Positive,6.0
141,HDFCBANK,EQ,2016-12-14,1186.25,1187.0,1188.0,1173.4,       1177.40,1175.7,1178.72,1078536,1271292719.8,34818,604485,56.05,14.599999999999909,1181.35,0,Negative,1181.35
143,HDFCBANK,EQ,2016-12-15,1175.7,1164.2,1194.5,1163.6,       1177.35,1176.6,1179.94,1235372,1457665899.5,36142,509424,41.24,30.90000000000009,1170.4,0,Positive,12.399999999999864
144,HDFCBANK,EQ,2016-12-16,1176.6,1176.6,1185.0,1171.55,       1185.00,1182.3,1178.42,813957,959185075.25,19790,383001,47.05,13.450000000000045,1179.4499999999998,0,Positive,5.7000000000000455
145,HDFCBANK,EQ,2016-12-19,1182.3,1176.8,1179.5,1170.5,       1175.15,1176.75,1176.34,790109,929440586.25,28802,372474,47.14,9.0,1176.775,0,Negative,1176.775
146,HDFCBANK,EQ,2016-12-20,1176.75,1176.0,1185.0,1171.7,       1183.00,1181.9,1178.85,1047498,1234846928.7,14370,583566,55.71,13.299999999999955,1178.95,0,Positive,5.900000000000091
147,HDFCBANK,EQ,2016-12-21,1181.9,1184.0,1185.0,1175.0,       1177.10,1180.0,1180.02,664719,784382918.55,16518,351330,52.85,10.0,1182.0,0,Negative,1182.0
149,HDFCBANK,EQ,2016-12-22,1180.0,1176.4,1179.5,1168.4,       1171.00,1173.1,1172.68,701429,822549545.25,16113,384530,54.82,11.099999999999909,1174.75,0,Negative,1174.75
151,HDFCBANK,EQ,2016-12-23,1173.1,1171.0,1189.25,1169.3,       1186.10,1186.25,1182.23,1188129,1404637970.0,22069,750916,63.2,19.950000000000045,1178.625,0,Positive,15.25
