,Date,Open Price,High Price,Low Price,Close Price,SMA50,SMA5,SMA10,SMA20,SMA100,SMA200
224,736403.0,1410.95,1420.0,1410.55,1416.6,1307.0890000000002,1402.7600000000007,1392.9500000000005,1383.4774999999997,1260.1470000000002,
225,736404.0,1418.1,1422.85,1413.65,1417.35,1311.4940000000001,1407.7900000000006,1395.5200000000007,1388.7899999999997,1261.6135000000004,
226,736405.0,1418.55,1427.5,1412.85,1425.85,1316.2130000000004,1414.1200000000006,1400.0950000000007,1393.9724999999996,1263.2365000000004,
228,736408.0,1426.65,1439.85,1425.95,1436.1,1321.2250000000006,1421.3200000000004,1406.0050000000006,1399.3824999999995,1265.0945000000004,
230,736409.0,1434.0,1445.0,1434.0,1440.95,1326.3200000000006,1427.3700000000006,1412.0250000000008,1402.5774999999996,1267.1110000000003,
231,736410.0,1427.7,1437.0,1425.8,1430.9,1331.0650000000005,1430.2300000000007,1416.4950000000006,1403.6674999999998,1268.8990000000003,
232,736411.0,1434.4,1435.0,1422.9,1430.9,1335.7790000000005,1432.9400000000005,1420.3650000000005,1404.435,1270.6175,
233,736412.0,1433.0,1434.45,1422.0,1424.35,1339.9790000000005,1432.6400000000006,1423.3800000000006,1405.6949999999997,1272.3280000000002,
235,736415.0,1424.0,1424.0,1404.05,1409.85,1343.4960000000005,1427.3900000000006,1424.3550000000005,1406.4724999999996,1273.8285000000003,
237,736416.0,1418.3,1424.7,1413.1,1420.2,1347.2000000000005,1423.2400000000007,1425.3050000000005,1407.8024999999998,1275.5690000000002,
239,736417.0,1420.8,1434.8,1420.0,1428.6,1351.1220000000008,1422.7800000000007,1426.5050000000006,1409.7274999999997,1277.3055000000004,
240,736418.0,1428.0,1479.95,1425.05,1466.2,1355.4930000000008,1429.8400000000008,1431.3900000000006,1413.4549999999997,1279.5305000000003,
242,736419.0,1453.8,1454.0,1436.55,1442.55,1359.5740000000008,1433.4800000000007,1433.0600000000004,1416.5774999999999,1281.4615000000003,
243,736422.0,1446.0,1450.1,1426.0,1433.2,1363.3860000000006,1438.1500000000008,1432.7700000000004,1419.3874999999998,1283.2505000000003,
244,736424.0,1435.25,1446.5,1427.55,1432.35,1367.3070000000007,1440.5800000000008,1431.9100000000003,1421.9674999999997,1285.0615000000005,1264.0730000000012
246,736425.0,1431.5,1443.0,1425.05,1438.5,1371.3500000000006,1442.5600000000009,1432.6700000000005,1424.5824999999998,1286.6610000000003,1265.4177500000012
247,736426.0,1431.05,1445.0,1428.6,1438.85,1375.2340000000008,1437.090000000001,1433.4650000000006,1426.9149999999995,1288.2915000000003,1266.8012500000013
248,736429.0,1443.0,1443.0,1432.65,1434.15,1378.5660000000007,1435.4100000000012,1434.4450000000004,1428.9124999999997,1290.0855000000004,1268.1220000000012
249,736430.0,1434.0,1441.2,1431.5,1439.5,1381.5440000000006,1436.6700000000014,1437.4100000000003,1430.8824999999997,1292.0370000000003,1269.4592500000012
250,736431.0,1439.0,1449.95,1435.5,1443.7,1384.5800000000006,1438.9400000000012,1439.7600000000004,1432.5324999999998,1294.1720000000003,1270.8445000000015
252,736432.0,1443.0,1448.9,1437.05,1440.3,1387.6870000000008,1439.300000000001,1440.9300000000003,1433.7174999999997,1296.4610000000002,1272.1885000000013
254,736436.0,1440.3,1443.8,1428.25,1436.8,1390.690000000001,1438.8900000000008,1437.9900000000002,1434.6899999999998,1298.8420000000003,1273.4220000000014
255,736437.0,1440.0,1455.0,1438.0,1447.3,1393.522000000001,1441.520000000001,1438.4650000000001,1435.7624999999998,1301.3345000000002,1274.8490000000013
257,736438.0,1447.0,1456.75,1438.0,1449.0,1396.5280000000012,1443.4200000000008,1440.045,1436.4074999999998,1303.977,1276.2942500000013
258,736439.0,1453.0,1466.05,1452.95,1462.15,1399.5500000000009,1447.1100000000008,1443.025,1437.4675,1306.9435,1277.7702500000012
259,736440.0,1466.0,1499.0,1453.3,1496.6,1403.200000000001,1458.3700000000006,1448.835,1440.7524999999998,1310.0165000000002,1279.4117500000011
260,736443.0,1498.1,1539.0,1497.0,1533.05,1407.718000000001,1477.6200000000006,1458.2549999999999,1445.8599999999997,1313.5025,1281.194750000001
262,736444.0,1535.05,1545.5,1529.6,1537.05,1412.3460000000011,1495.5700000000006,1468.5449999999998,1451.4949999999997,1317.0855,1283.007500000001
263,736445.0,1542.95,1553.0,1468.45,1550.65,1417.4060000000013,1515.9000000000008,1479.6599999999999,1458.5349999999999,1320.5959999999998,1284.896750000001
264,736446.0,1546.1,1573.95,1546.1,1568.6,1422.7060000000013,1537.190000000001,1492.1499999999999,1465.9549999999997,1324.3094999999998,1286.9117500000011
265,736447.0,1559.9,1559.9,1537.1,1546.5,1427.4320000000014,1547.1700000000008,1502.77,1471.85,1327.8834999999997,1288.716000000001
